ID_ACCIDENTE,AÑO,PROVINCIA,MES,DIA_SEMANA,HORA,ZONA,TIPO_VIA,TIPO_ACCIDENTE,CONDICION_METEO,CONDICION_ILUMINACION,TOTAL_VICTIMAS,FALLECIDOS_24H,HERIDOS_GRAVES,HERIDOS_LEVES
2975,2019,Alicante,7,Lunes,13,Zona interurbana,Vía convencional,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2976,2019,Alicante,6,Viernes,9,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2977,2019,Alicante,7,Lunes,8,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2978,2019,Alicante,7,Lunes,16,Travesía,Otro,Se desconoce,Buen tiempo,Pleno día,1,0,0,1
2979,2019,Alicante,7,Miércoles,21,Travesía,Otro,Caída de motociclista,Buen tiempo,Noche con iluminación,1,0,0,1
2980,2019,Alicante,6,Jueves,8,Zona interurbana,Vía urbana,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
2981,2019,Alicante,7,Jueves,14,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2982,2019,Alicante,6,Martes,14,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,3,0,0,3
2983,2019,Alicante,6,Lunes,14,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2984,2019,Alicante,6,Lunes,14,Zona interurbana,Camino vecinal,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
2985,2019,Alicante,5,Martes,11,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,2,0,0,2
2986,2019,Alicante,6,Jueves,13,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2987,2019,Alicante,7,Miércoles,14,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2988,2019,Alicante,7,Viernes,21,Zona interurbana,Vía urbana,Colisión múltiple,Buen tiempo,Pleno día,1,0,0,1
2989,2019,Alicante,7,Jueves,1,Travesía,Otro,Salida vía izquierda,Buen tiempo,Noche sin iluminación,2,0,0,2
2990,2019,Alicante,6,Sábado,23,Travesía,Otro,Choque obstáculo calzada,Buen tiempo,Se desconoce,1,0,1,0
2991,2019,Alicante,7,Sábado,10,Zona interurbana,Vía urbana,Caída de motociclista,Buen tiempo,Pleno día,1,0,1,0
2992,2019,Alicante,7,Sábado,17,Travesía,Otro,Colisión frontolateral,Lluvia,Pleno día,2,0,0,2
2993,2019,Alicante,6,Viernes,23,Travesía,Otro urbano,Colisión frontolateral,Buen tiempo,Noche ilum. insuficiente,1,0,0,1
2994,2019,Alicante,7,Martes,9,Zona interurbana,Vía convencional,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
2995,2019,Alicante,7,Sábado,9,Travesía,Otro urbano,Se desconoce,Buen tiempo,Pleno día,2,1,1,0
2996,2019,Alicante,7,Martes,15,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,1,0,0,1
2997,2019,Alicante,7,Martes,16,Zona urbana,Vía urbana,Caída de motociclista,Buen tiempo,Pleno día,2,0,0,2
2998,2019,Alicante,7,Viernes,15,Zona interurbana,Vía urbana,Colisión por alcance,Buen tiempo,Pleno día,2,0,0,2
2999,2019,Alicante,6,Viernes,8,Travesía,Otro,Colisión frontolateral,Buen tiempo,Pleno día,2,0,1,1
3000,2019,Alicante,5,Jueves,10,Travesía,Otro,Animal en calzada,Buen tiempo,Pleno día,1,0,0,1
3001,2019,Alicante,3,Jueves,6,Travesía,Otro,Colisión frontolateral,Buen tiempo,Noche sin iluminación,1,0,0,1
3002,2019,Alicante,7,Miércoles,6,Travesía,Otro,Choque obstáculo lateral,Buen tiempo,Pleno día,2,0,0,2
3003,2019,Alicante,7,Lunes,16,Travesía,Otro,Salida vía izquierda,Buen tiempo,Pleno día,1,0,0,1
3004,2019,Alicante,7,Lunes,13,Zona interurbana,Vía convencional,Colisión lateral,Buen tiempo,Pleno día,1,0,0,1
3005,2019,Alicante,6,Viernes,9,Travesía,Otro,Colisión por alcance,Buen tiempo,Pleno día,1,0,0,1
